review,sentiment
"Audio not operating while sliding other than 2nd screen in Zoom app and also when needed to use other apps, ex: clock for the purpose of stop watch, calender etc.",1
Very good conectivity. User friendly. Voice quality was great for most of the duration of the call.,2
"Too hard to get on, too many different websites. It would be nice to just click on one site. Once on tho the quality is of the video is great.",1
Loading,0
Kept cutting in and out even though I was connected to wifi and my signal was strong. Never had this many issues with other virtual meeting platforms.,0
Nice,2
Really easy to use. My favorite is being able to transfer a meeting from my desktop to phone with no interruption.,2
Working is good. The menu is little difficult during presentation. Presenter is to change the view if someone interacts during the presentation.,2
It make me left the meeting and asking for update even update is not available,0
The audio experience was not good even the video was not clear moreover it uses so much data,1
Sometimes it glitches,1
Good,2
This app is good for meetings... but 3 starts because it is a little heavy than other meeting apps and while joining a meeting it mostly freezes.... Pls solve this problem,1
Please check to improve switching to chat and back from main window.,2
I love this. It makes staying in contact so much easier. I wish it worked better on phones though.,2
Before 2 years my online classes started in Webex that time it was pathetic but now there is alot of improvmet👍👍,2
The app became useless. Cannot join meetings. Error persists after doing all the troubleshootings.,0
😎,2
this app is kinda good but there some problems that I faced but no problem this is kinda good app nice! keep going.,2
I love this app. It's just as user friendly as the desktop app and runs just as smooth. So convenient.,2
Mirroring Screen quality rough. Meeting are more one voice capable than for a group setting.,1
"This is a very good app, it helps me on my online school and I love all the features that zoom have. but one problem is that I can't change my profile picture every time I try to change it it will change back to the old one :(( please fix this",0
My first time using this application and very pleased. I did not have any problem at all and could here the host very clear. Thank you WebEx,2
Horrible,0
Having a very bad prob with my meet's camera idk what happened but suddenly it just blinked one time and became darken and whenever i used my camera it looks the same as black black but whenever i am in very brightening place like being in sunlight or infront of any blub it looks normal otherwise it looks darken all my side i dont whats going on i request to solve this prob as soon as possible,1
video gets stuck a lot,1
It is very good app for all type of online calls and meets actually a best app but before some days I was getting a option of filter changes and even emojis like mask in it in the background list but after update I am not getting that it was very good please add it because I mostly on the filter while camera is on..thanks,2
",🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕",1
The change background picture is not available for most android users.,1
I have not yet used it,1
Good,2
Please make it like Zoom App wherein you can see all participants by turning pages.Thank you.,2
"Not good, I was unable to connect to Audio both on my PC and my phone. I missed an important meeting.",0
Hi I came across issues with calls with my students and somehow they all disconnected and I am receiving a fee for that....from the school,2
Good,2
Unable to sign on as a guest as I do not have an extension.,1
Good,1
"I really enjoy this app! Although sometimes it crashes and lags everything is fine. This app even helped me find my online friend of almost two years :) Thank you, zoom",2
I have to use this app for my group therapy and doctors appoinments ive had several issues with dropped calls but i understand it happends and that wouldnt have bothered me if it was just that. Recently it has begun to not even allow me in my group despite full bars on my phone. If it continues after i update i will try to reinstall but i will also drop a star. If it fixes my issues i will give a higher score.,0
"Echoed, the could not hear me unless they called me. It was a very important phone call with the doctor! Very disappointing",0
Not good,1
It is very good app but some time it ask for meeting passcode and teacher have not given me passcode and other student have been join without passcode it's a glitch,2
Good app and something network issue no sound the falt .😢,2
#WeWantEstes,0
Awesome great word I need it to hear.,2
When we play video in zoom meeting other not getting video audio sound to them.. after new update,0
"Poor communication, audio breaking alot. Disconnection",0
This is good but the vedio quality is very bad . Please fix the problem as soon as possible.,1
Good,2
JDGJJFNFHHXHHDJDBDH,1
"Iam not satisfied with this app.There are alot of bugs need to be fixed.if I join a zoom meeting I am trying to join audio but it's not joining. Hey, Zoom team Please do it as soon as possible.",0
I cant change the baground i updated the last verson but stil i cand change baground😭😭😭 pls fix it,1
This is a good app but it will take extra internet and we pay money to start a meeting that is bad but therefore it's a decent app to join meetings .please avoid personal chat,1
Not much in use,0
Not so good,1
"My experience was great, sound quality was good , very satisfied I will definitely recommend this app to anyone!",2
I don't have a code to sign up,2
"Consume lot of data, can you improve like for 2hr of session on ms teams, zoom or WhatsApp less then 1gb is used this app is using more and video and audio quality was just OK on mobile data pack with airtel 4g on Samsung note 8",1
Op I Love You and,2
great app audio and video were both clear. and most of all there was no lag between the two.,2
3/5,1
"Hi Team, On mobile andriod version I am not able to set who is talking after latest update. Could you please help me to set who is talking setting or give me earlier version. Its been very choas as need to find video of who is talking on screen",0
Webex should add some feature at the phone that can help us to copylink..so that we can easily share it to our friends during the class,0
Just a simple app,2
Works fine. Just need a lot of developments in making this work faster.,1
Had a very bad experience with this app. It blows my mind that you have to download 2 apps to use same service. Functionality is not even near to Slack. This workplace is garbage. Don't ever use it or give it a shot.,0
Very good app 👍,1
I cant turn on my mic and my video in my computer i only can turn in it on my phone... Others couldn't hear me...,0
Is there any option to record the screen video or meeting recording in at least pro version,1
"It was ok just, that the audio needs to improve",1
"After downloading the app , tap on the icon but just wont open ..it flash ones every 5 seconds , try to reboot the phone but still the same .",0
"Missing functionality compared to using the web version. No screensharing, 
can't adjust settings while in a call, unable to move people around, unable 
to minimize/maximize someone (or their screen), recent doesn't show 
anything and therefore I am unable to favorite anything. Really wish it was 
full featured, especially since I pay for the pro version.",0
Very nice apps connected friand,2
I have got a good experience from this app it was helpful for me,2
"I cannot use the Google meet in my Android tablet, teclast p20hd. It keeps auto left all of sudden.",1
"Can't install the app, every time same message, unable to install.",0
installation download always hang at 55%.. trying a few times...,0
This is not a good learning application. Please enhance the quality,1
So good ape,1
it sucks,0
Sometimes there is sec gap between audio and vedio,1
Nice,1
The worsts app. How can a service this bad The process of reset password is like trap in a loop no matter how many times you try it doesn't accept it. improve Ur app and it's services.,0
The app is good but I won't give the 5 stars because I want an improvement on the audio recording of it.,2
Wauda kemal,2
For the most part I love zoom. Problems: freezing up & stuttering.,2
App never really worked well. But the last 4 months I continuously get notifications and when clicking on them out takes me to nothing and showed everything as fine and updated... Uninstalled as this is now more irritating than American politics,0
#WeWantEstesSkin,0
Just a simple app,2
Amazing app. Keep it up guys.,2
Same other people huck my accuont,1
The video was great. The sound fades in and out. Making it hard to understand what the other person is saying.,1
Audio is not clear that may be poor Network ....,1
"Too ambitious so the app dosent deliver, many bugs and often too long loading times for no reason",0
Finally a business app I can have fun with...,2
It is a good app but it takes a lot of storage in my phone and it keeps getting log out from my account and when I switch apps I get log out from my meeting I hope you can fix it at last it's good,1
Not working,0
sooooo poor connection,0
I am so I am so I am so I am so I am so I am so I am so I am so I am so I am so I am so I am so I am so I am so I am so I am so I am so I am so I am so I am so I am so I am so I Im so I am so,1
"Hello my friends i pray to for your and God will protect your and guide your unless God is the shere all of us will get ,",1
Osm,2
"Why I can't use background in the app, while I can use it in gmail.",1
Is fine but the company need to work on the synchronisation between phone and laptop.,1
Ok,1
It's worst app..but some time do connectivity problems when I update it after some it was starting network problem and give us eror code : 5... it's so bad,1
"Please include option to turn on speaker I.e ., Phone specker and loud speaker. It was available in old version. But in new version it's missing",2
good,1
I think it is pretty easy to use,1
"The app doesn't clear notifications when messages are read. Its very annoying especially for us who use it daily for work. Edit: 2 stars. When I am in a call on desktop, if I get another call, the app rings on my mobile phone. How do I take 2 calls at the same time? Also, the app sometimes forgets its supposed to be in dark mode and goes light mode by itself. Edit: 1 star. The app now keeps asking me for my login password at random times. No idea why, if its security, its terrible UX",0
"facebook 4,0",1
Lag issues and slow.,0
Arjun ekka,1
like,1
Company hack kar le to,0
No problem with this app. But an opinion I want to share that there should be private message option.,2
I like it,2
It is fine to use the same to get connected with the same teammates,1
Super,2
Good but security system is very poor.,1
00p 0p,0
Superbly good!,2
Unable to obtain audio on group meeting. Samsung S7,0
I like this one because it don't have ads,2
Wow,2
Consuming more data,1
Great way to create a forum. Needs option to show still photo rather than just video.,1
Nice,2
every channel or group should present a list of its members for easy view,1
Exemplary,2
I love this app but I don't get update options I can't use camera wallpapers 😑😑 . I love to use it but don't get the option,2
Very easy to install and use,2
Facebook,1
plz help me to solve my issue while i am taking a class on personal data the class will go very smooth when i comes on the router it will be disconnecting issue will appear and class will disconnected. . many of the petson wil connect on the same time on 1 router this issue will b occur . can u plz suggest me what can i doo for this issue.,1
Interesting to use,0
Poor connection. Delayed and garbled audio,1
Wo woo Ha so wo,2
It's OK I just got started,1
app is very hard but app is wrg rhydj,2
It is one of the best app for sharing screen,2
Katara maro tum log experience ka bat karta,0
Excellent,2
Friendly user,2
"Can't login to the app. Constantly gives the error saying ""an unknown error occurred"". Tried uninstalling and reinstalling the app, didn't work.",0
"The app is very good, it works well and is very easy to use for meetings.",1
Is nice,0
Fffecebo,2
"Can't get audio through the phones built in speaker, only through the ear speaker which make it almost impossible to use...",0
Innovative approach by fb for workplace communication,2
Volume really low but probably my phone,2
so many problems that i cant type it,0
Notfinished yet,1
عالی,0
It looks good at first but always buffer. Please fix these. I like it better than the Facebook app.,1
Codm LNG ako gago mga potanginanyo,0
It is very good app but network problem is very much,2
"very annoyingly keeps showing smart device link notifications, hundreds a day",1
Unable to manage mic,0
Good,2
Good,2
It is my humble request that please give an icon or symbol to change the background please .But sir I have tried it but it's dose not happen.plz give the option I am using redmi note 4,1
So hard to understand it,0
Good,2
Connection can get spotty sometimes when on a conference call even if you have a good signal. Otherwise app features are useful,0
"Great app, easy to use. However, you are only notified that someone has joined when the app is in use, you end up missing out.",2
"Uh, I have finally found probable reason why I have disappeared from my workplace group. There was e-mail requesting to upgrade Workplace till 7th of October. Small note was there down below: If you don't switch to Essential by 7 October 2020, everyone will lose access to the xxx Workplace. Great lesson. Hopefully I will not need Workplace again.",0
The latest version 5.8.6 disconnects me when a call comes through. Previously it just muted.,0
Have Huawei y9 2019. App crashes on pressing login button,0
"I want google to solve the problem of video conference meeting . The video is extremely blurry and drops sometimes , cuts and not hear the voice of others in wifi as well as data connection . sometimes i gets good quality video and audio . but i want google team to work on this problem and be no. 1 in the world. "" I will be highly obliged if my rating and problems solve by the team of google software engineers"". Thank you....",1
Suboptimal experience in general Zoom has ' zoomed ' past this app !,0
Nice app,1
"Excellent connection. Clear voice very good connection. The video quality is better than similar apps for this type of meetings. It's provide really handle features like: raised your hand, cutt video, sounds, digital background, see who is on section, chat within the group and private, and many more.",2
"We have enjoyed constant spiritually encouraging meetings via Zoom since b4 1st lock down, kept fit most days with friends also right through too... Only couple of hiccups.. No problem.. So appreciate this meeting platform never known of b4.. We're also helped brilliantly on jw. Org for videos of all sorts, broadcasting & audio articles... My 2 main 'go to's Much appreciated 👍👏😃 2021 November still going strong Thanks Zoom team 👍",2
I did not see here any room also i don't know how to find room here,0
Absolutely useless. Tried to stream a wedding. Audio cut halfway and did not return. Waste of my time. Never again depending on zoom.,0
Good,1
"I'm having problems with the background effects. Literally there is no options.But all my friends are using it. why, how ?????",0
Very good app not any voice problem,2
Thinks me bro,0
If developers can't be bothered to add information to updates I don't want the app. Amateur device team.,0
Op,2
Size so huge.,0
App not working.. says can't find a secure internet connection,0
No audio,0
Good,2
Very good,2
I am not able to see the people joined for meeting,1
Data hi khatam ho jara ha 1 ghante ma,0
"It's good but sometimes showing lot more prbl and also disconnecting again again please consider this and also taking too much of charge It's a main reason. Otherwise, the rest everything are absolutely fine.",0
Chats are loading very slowly !!!! Please go through it.,1
Nice app,2
This app is late uploading background and filters it's so slow updating I saw on Play Store but update option is not there and new background are not coming,1
"Kicks my video off often. But great app, love being able to see my husband!",1
This is a very nice app to attend classes and business meetings . This app takes less space and memory of your phone than the zoom app. I give it to 4.5 stars rating.,2
Ws you pondati*223,2
Fine screen vani meeting app .,2
Good app,2
This app is great and softer on the use of data. However the developer need to include breakout option.,2
Best,2
Gajab,2
The app is good. But sometimes the Bluetooth connection drops and reverts to speaker/ earpiece. Have to drop and rejoin the call. This does not happen with Teams in my laptop.,2
"Good but not great... you can't set themes, you can personally message, etc. It's ad-free though... I like that. The new UI is kinda all over the place though... overall, 2 and a half stars... since I can't give a half star, it's rounded of to 3.",1
Nice to use,2
Good,2
"Differences in network might've contributed, but mobile to school has jitters for audio & video",1
"I have a Note 5 and the push notifications for this app do not work. I rely on it for school as a lot of classes are group based and we use it for collaboration. I am not getting any push notifications. Zero. I have checked that they are on, checked phone settings that they are allowed, and have even made Workplace a priority in my notification tray. Help please!!",2
Please put down chat box in mobile version and instead of it everything is very good.,1
Not much good its very slow.,1
Lots off errors during Classes after 10mins class disconnect and show can't connect to our server please resolve this problem as soon as possible,0
Excellent,2
Use lase application for all teacher,0
Great,2
It was very clear. I enjoy it,1
"I'm finding it hard to install this app. What's wrong, huh?",0
Nive,0
Useful one,2
Why would anyone choose to be subjected to their employer's propaganda 24/7 365?,0
I am unable to get incall message due to that i am unable to click on attendance link so please short it fast..,1
1212,0
Cannot switch to speaker mode. Frustrating experience.,0
It is very nice app but if I not use this app for 2 or 3 days than again I have to give my email and password. That's why I rated it 3 stars.,1
Very easy to use. Doesn't freeze or glitch. I personally like how the video switches to each person that is currently speaking,2
This is amazing,2
Its good aap for video calling,0
Nice,1
Good !👍🏻,2
New update consuming lots of data,0
No clear voice,0
Very slow needs to connect fasr as other apps,1
Couldn't hear the speaker very well on my phone. Listeners need to be reminded to turn off their microphones so the audience doesn't hear extra noise or conversations.,1
Best,1
#4200 Gujarat,0
This app was actually the first one to overheat my phone! It kept happening everytime I was in a chat group.,0
"nice app, similer app like what's app also would be helpful for individual projects groups and should be secured through work mail ids",1
It makes business communication easier.,2
Very bead,0
Very nicr,0
Super,0
"When going full-screen view, it's hard to unmute, please add a hold to speak option not tap to. And why the mic button should be floatable on fullscreen(adjustable location).",0
"So easy! Also, good sound & visual quality.",2
"Why is that your app having audio secure connection issue... Everytime, we need to uninstall the app and install it again....Sick of this application....I need to give ZERO rating for this",0
Very worst app,0
The app is pretty good for the most part but it could be more user friendly. Chat was easy enough to use but it took awhile to figure out how to connect to meetings.,1
It crashes a bit with my less then stellar phone.,1
Good app,2
Hard to maneuver.,1
"Best app for meeting.......but there's a problem I am facing,whenever I am getting any assignment.....the pdf or picture in the assignment is not opening..... Please look into this matter as soon as possible",1
"While it is a great concept, my Android phone is slow in connecting with it.  App closes before it even open while on my Android.",0
Nice,1
Fast,0
"""A BUGGY MESS"" :(",0
"Not sure what these guys are thinking. You cant join a meeting in the app, it's incredibly frustrating.",0
works good too many log in obstacles,0
it's not downloadimg,0
This app was trash!!!!BECAUSE I CAN'T SEE ANYONE!!!ITS WAS JUST A BLACK SCREEN!!MY BROTHER UPDATE HIS GOOGLE MEET BUT STILL THE SAME!!I JUST DOWNLOAD YESTERDAY!!!SO THATS MEAN I CAN'T UPDATE!!!!PLEASE FIX THIS!!I EVEN OUT IN LIKE 10 TIMES AND GIVE THE LINK FOR 4 TIMES BUT STILL THE SAME!!!EVEN MY BROTHER SAY THAT I OFF MY CAMERA BUT ACTUALLY NO!!I CAN SEE MY FACE ON IT!!BUT I CAN'T SEE MY BROTHER FACE!!NOT AT ALL!!!!AND I CAN'T EVEN SHARE SCREEN!!PLEASE FIX THIS!!,0
Great,2
THE BEST APP FOR ATTENDING ONLINE LECTURES OR ANY VIRTUAL MEETING BUT THERE ARE SOME GLITCH WHICH I DON'T THATS WHY I GAVE IT 3 STARS .I AM SEEING THIS ISSUE FROM LAST FEW DAYS WHEN EVER I TRIED TO JOIN THE METTING BY THE LINK OR BY WIRTING ID AND PASS ITS STUCK ON PREPARING MEETING SOMETIMES I JOINED BUT WHEN THE HOST TAKE ME IN THAN OTS DISSAPEAR WHEN I SEE IN NOTIFICATION SHOWING ZOOM IS RUNNING WHEN I CLICK ON IT THAN ITS SHOWING PREPARING MEETING.,1
"This app UX is not that good compared to the others, but the functionality is great. I have one feedback for the annotating feature. In android, the adding text mode, i don't know why but the font size is too big, i hope you can make it smaller. Thank you!",2
very easy to use for a small group conference,2
"Very good app, it does freeze up sometimes but not for long.",2
Why I am unable to install Google meet,0
Love it fantastic app,2
Gud,1
Good,1
The app works. It is a simple video chat like skype or messenger but the t latter ones does not heat up my phone as this one... pls find whats causing that.,0
It is good app for school classes meetings but when we back the camera it shows mirror video and when we off mirror video do camera front it shows mirror video please.....you want 2 more stars to improve it ok.,1
Hangs a lot and pop ups are annoying in lap,2
Bad app,0
GOOD,2
Presence in the Teams app is unstable.,1
This app is nice . But the problem is that it will keep asking our name for every 2 to 3 weeks . We can create our own meatings and join others meatings to . We can share the links and use codes to join others meatings .,1
THIS APP NEW UPDATE SUCKS THERE USED TO BE A SQUARE THING (SMALL SQUARE OF THE MEET) APPEARING WHEN YOU LEFT THE APP BUT ITS NOT APPEARING ANYMORE GO FIX THIS BS,0
Mack 97,1
"I use this app daily for my work. Recently it is requiring me to sign in and wants an additional code too. Since I spend my time using this app when traveling, it makes calling or receiving calls impossible when driving. You get stuck in a password/authentication loop.",0
Best for small team and health team where location communica is lack best,2
Cannot sign in my account .. Max retry count exceeded is the only msg being displayed pls fix this as soon as possible,0
Can't get into calls from the app.,0
It's very good but you must pay to make a record,2
There is no Totally a Raise hand button on my mom's cp so how can i answer to my teacher's question... I hope u fix it.... Thank u,1
Shifts features is not working properly. Every time new shifts are added I have to reinstall the app to check the updated shifts. Kindly fix this.,1
I want the option to change baground because in my phone the option of changing background symbol is not coming too much hard sffuring for me sooo please in updation from now Google LLC u give the option of changing background......... 😤😤😠😠😠,1
Who asked to change old format . Please bring back old format. It is difficult to take classes in this format as chat box can't be opened immediately . As a user I request you to bring back old format.,0
🤔🤔🤔,0
Good,2
"I have a problem that my Bluetooth alexa does not get connect to the teams as it is connected to all other apps , as I connect Bluetooth the voice gets cut and I can't hear anything . Pls Fix the problem as soon as possible .",2
Working very well to provide a combination of meeting and communication functions. When I briefly had multiple 365 accounts for clients it was a pain to switch between them. Fix that for 5 stars.,2
Worked great. Just couldn't see the chat board because it doesn't have one for Android,2
Good app but you want to add backgrounds for mobile phones also you put that only in computers and laptop the thing is that you want to it,2
"I enjoyed my first experience with zoom,I am satisfied with the results. Thank You! It was very simple using the app.",2
Its good,1
"did not let me see the chat and the video at the same time, the chat kept scrolling off the screen everytime someone asked a question and it did not me save the chat as there was valuable information passed on to the students for the upcoming class next week",0
Good communication,2
It was very easy to download the app and use it. The graphics and audio were crisp.,2
U need to give green screen features to every device ...... Really,1
"They updated their App and it no longer works properly for Android.  For every reason I upgraded my service and decided to pay a monthly fee, I can no longer use those features in this App and must NOW use my laptop",0
Sometimes it works and sometimes it doesn't but over its OK,1
good,2
Excellent,2
Bakwas app,0
"After updating my Pixel to Android 11, webex works totally weirdly. Please fix this. Picture in Picture mode just hang my phone",0
"Too many bugs, so hard to use, very hard to switch accounts/ find old account used, too many confusing things going on",0
Very good,2
I works pretty well. Please enable picture in picture on Android.,2
The apps is ok. I use it for work. They should have better cut and paste options. Currently it will open anything with a number as a phone call. Very annoying.,1
"Most functions barely work. - messages don't send /receive - channels don't update Call quality is generally okay. Calls ring on PC, but not in the android app, notifications come 20mins after the message, still really poor Still barely a beta",0
Awesome. Smoothly flowing. Hassle free. No interruptions. No noise. Nice experience. I feel grateful. Thanks to this technological marvel. All the best wishes.,2
Very good,2
Haven't had any issues or problems with it. There's a lot of eye distractions with all the menu options I feel like. But over all like it.,2
Very very awesome my friends.. check it out,2
Very good,2
It's not downloading Fix issue,1
Every thing is good but the problem which is in google meet that backgrounds and effects are not available in every type of phone version.,2
Very good,2
Nice application for video conferencing...,2
"After the new update, mirror video of the back camera is also happening. Only front camera should have mirror video plesae fix it . And the chatting is not happening by any participant in the chat.",1
Two out of four of us kept having connection issues. Either the camera wouldn't work or the mic wouldn't.,0
This app is good but in this phone the app is not opening it asking to click the calender sync in the setting after setting it is not working,1
It was very helpful to know where I came in on the tree and to know that I need to make myself 1st priority.,2
"I love all these Google applications I find it important that I point out all these critical issues that is making the app work badly • the chat- the chat has been lagging insanely and when I say insanely, sometimes when I join meetings and people are saying they are typing in the chat I do not see anyting nor am I able to send any messages it seems that my messages continue to have sending above it but it never complete, and the worst part is that this happens often to everyone in my class and",1
Easy to use better if you have the link sent to you through your email amazing clarity and connection five stars all the way,2
"Yes Really Enjoying it, but just want to know how can I change my Background it is not happening at all. I have updated but there is no any sign to change the background plzz reply ASAP Team",2
Horrible,0
Great app,2
Great App Platform for workers,2
It will help me in online classes in corona time and rainy day.It will help me a lot.,1
Doesn't load. Fundamental failure.,0
abdulla2451966,1
There are so many glitches and it doesnt work most of the time.,0
"New to the system, still learning.",1
"This app is useful for students especially those having an online classes. It's a good but sometimes it's laggy and the camera button keeps turning off right after I turned it on. I don't know how to fix it and it's really a disturbance to my class. On the top of it, I suggest that you should add a background change on the mobile app too because lot of students are just using their mobile phones. I hope you will consider this.",1
Ok,1
The sound was horrible,0
Go to meeting works great for my Dr appointments. But I wish there was a way to choose to make the video and sound turn on before the meeting starts. I am always having to waste my Dr's time fumbling around for that after the meeting starts.,2
The app was simple to download and very easy to enter a meeting. No stress at all!,2
I am doing the online classes in google meet ( from tablet - The model name is lenovo tab - 7 ) since long but i an facing 2 problems. 1) I can't change my background and 2) The video gets automatically off when I move to another app to give my online exams with the video on. It is my humble request please fix this problem as soon as possible.,0
Very nice,2
High tech background but Zoom not human engineered. Google works easily & instantly. Wonder if Goog has 2 conflicting product teams working a legacy and replacement.,2
Nice aap,0
Audio & video quality must be improved,2
Not good,0
It's an awesome app. It's very easy to use ☺️. The updates are very nice. I love the filters also. Good app for school 👍,2
very nice app,2
Will dial the number instead of using data for audio...,0
Poor Audio Quality along with distortion,0
"Please fix for Nexus 6, my job depends on this working for job meetings and trainings. Please fix it as soon as possible. *EDIT* they just released a statement that states that they do not support nexus 6 phones, its a stock developer phone from GOOGLE....C'mon guys!!!!!!",0
Everything is ok but I would appreciate if you fix the screen blur issue.thank you,1
Facebook flex,2
Good,2
This thing is nice but sometimes its laggy,1
"Not so great! Zoom keep over heating within 30 minutes of being on the site.... I tried all avenue's to get it to stay on but to no avail. And I have a brand new ugraded device, so I know its not my device.",2
"This is the worst app ever for video conferences,you either have audio, video problems or need to update the app because you get kicked out because of buffering. I recommend an absolute overall to address the difficulties.",0
waiting for more to be added to this before I give it anymore stars. It has potential.,1
C btzero rr,0
Best app but i cant change my background please fix these problem,1
Good app. One issue though. No option to mark all notifications/activities as read. This is basic functionality and i think it should be available.,2
Not professional video calling app. Zoom and Google meet are far better than this.,0
This app is very good app is used to anothere mobile data,2
Dipti,1
It was all good but now my network is all good ..still it is always showing me connecting only in this app??!!@,0
Good,2
Great on a tablet! Although you can only see four screens at a time. You have to swipe to see the next four people.,2
I don't know what is happening from few days. Our mock tests are going on in school but from few days I am not able to upload pics in oneone from assignment tab even if I have a very high speed net it loads and then stops 😑 please fix it as soon as possible,1
Gulam nabi pakistani,2
Some times mic not working.😒 And these app is only ussed to study plzz fix these type of errors i am not unable to give my viva's,0
It was just very bad it kept freezing and when it froze I couldn't hear what my teacher was saying. He couldn't share his screen so he couldn't teach! I don't recommend this app if you want to share your screen or you don't want to teach!,0
Good for office meetings and professional things,2
Please have a delete button in the chat,1
Wuz up,2
Love it! Once in a while the app won't connect then I have to use the desktop. The quality of the calls are great. It's ability to show me who's on the line before getting on and call history are helpful tools. I can use the service equally on wifi as well as cell service.,2
No audio at all.,0
It's a nice app but sometimes when I am trying to join my online class it shows connecting and never connects,1
Super,2
Not connected from some mobile models like I am using honor mobile it don't login and shows error try again,0
Very good,2
When switching the camera on it is showing black image my img isn't coming at all. I use tis aap to take my classes but gettong a lot of problem die to this camera problem . I expect u to resolve this issue asap.,0
U guys are much head aching Though my network connections are strong enough I'm getting my audio very poor,0
Its amazing!!!!,2
I am very thankful to this app because it allows us to meet maximum 100 participants. But is consuming so many data charges so I am giving three stars.,1
Not bad at all,2
Browser,2
"Teams works great. And with it's integration capabilities, it looks like it's here to stay.",2
I am facing a lot of net issues But it's nice app,1
